neighborhood code,neighborhood name,district name,average tax revenue by person,average monthly rent,total population,average number residents per home,female life expectancy,male life expectancy,birth rate,mortality rate,number elder care homes,number hospitals,immigration rate,most common age range immigrants,most common immigrant origin,emigration rate,most common age range emigrants,unemployment rate,month most unemployment,number bus stops,number public transport stops,number car accidents,leading cause of car accidents,number shopping galleries,number state administration facilities,number cemeteries,number police stations,number street trees,number hotels,number music and dance venues,number libraries and museums,number places of worship
1,el Raval,Ciutat Vella,9189,734.99,47608,2.81,85.3,76.5,17.8121324147202,7.26768610317594,10,24,11.3426314905058,25-29,Pakistan,4.4215257939842,30-34,10.483980049032,February,42,14,150,Alcohol,0,2,0,3,1847,98,48,453,27
2,el Barri Gòtic,Ciutat Vella,12168,905.26,16062,2.48,84.4,78.7,14.8798406176068,8.09363715602042,12,6,16.7289254140207,25-29,Italy,4.85618229361225,25-29,8.36239087963993,February,39,4,178,Alcohol,3,0,0,0,738,116,44,287,17
3,la Barceloneta,Ciutat Vella,11495,722.78,14996,2.19,84.7,75.9,18.0048012803414,11.26967191251,2,18,11.7297946118965,25-29,Italy,4.76126967191251,35-39,11.1619127516779,January,48,2,138,Alcohol,0,0,0,1,2338,14,26,180,5
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,12691,895.28,22721,2.26,85.3,78.3,15.3162272787289,7.39404075524845,2,12,12.1693587430131,25-29,Italy,4.53325117732494,30-34,9.76512569237324,February,38,6,134,Alcohol,0,0,0,1,1897,44,41,316,13
5,el Fort Pienc,Eixample,16307,871.08,32016,2.5,86.7,81.4,17.616191904048,10.4010494752624,14,16,6.98713143428286,25-29,Italy,3.3764367816092,30-34,6.77328155868928,February,40,11,277,Alcohol,0,0,0,1,2557,18,8,229,6
6,la Sagrada Família,Eixample,15998,847.04,51539,2.36,87.2,81.3,17.966976464425,10.3998913444188,26,18,6.96753914511341,25-29,Italy,3.27130910572576,30-34,6.91127006429088,February,49,9,377,Alcohol,1,2,0,0,3322,6,7,90,6
7,la Dreta de l'Eixample,Eixample,21018,1151.09,44052,2.39,85.1,80.1,19.1137746299827,11.3048215745029,174,14,7.26414237719059,25-29,Italy,3.33469536002906,30-34,5.14735224869308,February,137,61,1167,Alcohol,1,5,0,1,6317,186,57,331,18
8,l'Antiga Esquerra de l'Eixample,Eixample,19263,1001.49,42284,2.33,86.9,80.8,18.5412922145492,10.5004256929335,36,22,8.1993188913064,25-29,Italy,3.24945605902942,30-34,5.87404556459122,March,88,8,588,Alcohol,0,2,0,0,3737,58,62,90,11
9,la Nova Esquerra de l'Eixample,Eixample,18003,909.08,58180,2.37,88.7,81,17.6864902028188,9.77999312478515,22,12,6.98178068064627,25-29,Italy,3.36713647301478,30-34,6.6588203340727,February,35,12,387,Alcohol,0,2,0,0,3535,36,18,103,9
10,Sant Antoni,Eixample,15976,876.97,38345,2.34,87.6,79.8,17.2121528230539,9.33628895553527,8,56,6.4936758377885,25-29,Italy,3.42678315295345,30-34,7.28511711462724,February,56,19,233,Alcohol,0,1,0,2,2585,30,14,42,8
11,el Poble Sec,Sants-Montjuïc,11736,715.71,40228,2.52,86.4,78.8,17.351098737198,9.14785721388088,2,8,7.67375957044844,25-29,Italy,4.16873819230387,30-34,9.09939092786531,February,0,0,0,Alcohol,0,0,1,1,5087,18,21,421,14
12,la Marina del Prat Vermell,Sants-Montjuïc,9917,738.31,1149,2.57,87,80.6,20.0174064403829,9.57354221061793,0,0,2.78503046127067,30-34,Peru,3.65535248041775,10-14,15.9411989308897,February,120,6,249,Alcohol,0,0,0,1,1531,2,0,8,2
13,la Marina de Port,Sants-Montjuïc,11963,689.16,30584,2.58,87.7,80,16.642688987706,8.92623594036097,0,26,4.90125555846194,25-29,China,3.35796494899294,30-34,9.2618843069874,March,54,0,105,Alcohol,0,1,0,0,3172,0,0,38,9
14,la Font de la Guatlla,Sants-Montjuïc,14766,806.34,10401,2.43,84.3,78.8,20.7672339198154,13.8448226132103,4,0,6.2109412556485,25-29,Italy,3.77848283818864,35-39,9.1714921114468,February,7,0,46,Alcohol,0,1,0,0,740,2,0,78,3
15,Hostafrancs,Sants-Montjuïc,14053,680.17,15904,2.41,87.4,79.8,18.4230382293763,9.49446680080483,0,0,7.28747484909457,25-29,Italy,4.08073440643863,30-34,7.55947607591553,February,28,7,125,Alcohol,0,0,0,0,1286,14,0,8,7
16,la Bordeta,Sants-Montjuïc,14160,739.35,18530,2.46,86.3,80.9,17.4851592012952,9.06637884511603,4,6,5.09983810037777,25-29,Italy,3.68051807879115,30-34,7.8743566023862,February,22,2,97,Alcohol,0,0,0,0,1093,0,0,0,8
17,Sants - Badal,Sants-Montjuïc,13660,697.58,23987,2.42,87.7,82,17.9680660357694,9.46345937382749,4,4,6.15333305540501,25-29,China,4.22728978196523,30-34,6.47134636678829,February,19,4,71,Alcohol,0,1,0,0,959,2,0,0,6
18,Sants,Sants-Montjuïc,15287,737.27,41127,2.4,86.1,81.6,18.3091399810344,10.1636394582634,4,28,6.90300775646169,25-29,Italy,4.01682592943808,30-34,7.24289108362366,February,48,21,177,Alcohol,0,1,0,0,2047,8,9,116,6
19,les Corts,Les Corts,20324,936.32,46009,2.42,88.1,82.4,17.9530091938534,9.82416483731444,6,16,4.94685822339108,25-29,Italy,2.99723967049925,30-34,6.89021861484685,February,67,9,319,Alcohol,1,1,0,2,5164,22,9,35,7
20,la Maternitat i Sant Ramon,Les Corts,18356,896.45,23948,2.46,89,83.5,16.8698847502923,8.26791381326207,0,18,5.57457825288124,25-29,Venezuela,3.75396692834475,30-34,6.72487832808474,February,65,10,203,Alcohol,0,0,1,0,3228,20,6,138,3
21,Pedralbes,Les Corts,26668,1856.57,12076,2.86,88.4,83.6,14.8227890029811,9.52302086783703,10,0,6.32659821132825,25-29,France,3.15501821795296,30-34,3.14999420424249,February,75,5,204,Alcohol,0,0,0,0,4426,4,1,122,7
22,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,19017,1248,4670,2.97,82.2,79,17.9871520342612,10.0642398286938,6,2,4.00428265524625,35-39,France,3.06209850107066,30-34,3.1960293162631,March,118,4,26,Alcohol,0,0,0,0,297,2,0,66,5
23,Sarrià,Sarrià-Sant Gervasi,24301,1291.5,25032,2.82,86.9,81.7,19.1355065516139,9.86736976669863,32,24,4.82582294662832,25-29,Italy,2.78443592201981,30-34,3.28755953373733,February,80,10,189,Alcohol,1,0,0,1,2992,6,3,22,16
24,les Tres Torres,Sarrià-Sant Gervasi,28231,1516.52,16667,2.98,88.1,83.9,16.8596628067439,8.75982480350393,8,18,4.21191576168477,30-34,United States,2.42995140097198,35-39,3.67679436371642,March,30,9,161,Alcohol,0,1,1,0,2137,6,6,44,4
25,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,25043,1182.12,25774,2.77,86.8,82.5,17.5370528439513,9.81609373787538,26,24,4.58213703732444,25-29,China,2.45596337394273,30-34,3.91464963595055,February,83,12,209,Alcohol,0,1,1,1,3267,14,33,88,12
26,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,25643,1268.61,47666,2.56,86.9,81.9,17.5387068350606,9.04208450467839,22,48,5.10636512398775,25-29,Italy,2.68115637980951,30-34,3.88777026703102,February,74,20,385,Alcohol,1,3,0,1,3980,24,1,44,13
27,el Putxet i el Farró,Sarrià-Sant Gervasi,20607,913.45,29470,2.42,87.9,82.5,17.0682049541907,8.07600950118765,18,8,5.14082117407533,25-29,Italy,2.98948082796064,30-34,5.61983969143615,January,54,11,134,Alcohol,0,0,0,0,1161,10,0,4,4
28,Vallcarca i els Penitents,Gràcia,18438,946.59,15759,2.42,86.3,80.9,18.3387270765912,9.96256107621042,12,28,4.89878799416207,25-29,Italy,3.10933434862618,35-39,6.99653529666522,January,71,6,150,Alcohol,1,0,0,2,1762,2,0,128,5
